ID,microchip,speice,sex,size,potenciallyDangrous,neighborhood
0195-CMMSI-SIN IDENTIFICAR,978101081210195,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0214-CHMSI-SIN IDENTIFICAR,978101081210214,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0231-CMMSI-SIN IDENTIFICAR,978101081210231,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0237-CMMSI-SIN IDENTIFICAR,978101081210237,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0250-CMMSI-SIN IDENTIFICAR,978101081210250,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
268-FMMSI-SIN IDENTIFICAR,978101081210268,FELINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0278-CMMSI-SIN IDENTIFICAR,978101081210278,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0304-CMMSI-SIN IDENTIFICAR,978101081210304,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0314-CHMSI-SIN IDENTIFICAR,978101081210314,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0318-CMMSI-SIN IDENTIFICAR,978101081210318,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0323-CHMSI-SIN IDENTIFICAR,978101081210323,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0337-CMMSI-SIN IDENTIFICAR,978101081210337,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
0372-CHMSI-SIN IDENTIFICAR,978101081210372,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0383-CMMSI-SIN IDENTIFICAR,978101081210383,CANINO,MACHO,MEDIANO,false,SIN IDENTIFICAR
10389-CHMSI-SIN IDENTIFICAR,978101081210389,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
0427-CHMSI-SIN IDENTIFICAR,978101081210427,CANINO,HEMBRA,MEDIANO,false,SIN IDENTIFICAR
